City,AKP(%),CHP(%),DEM(%),MHP(%),YRP(%),IYIP(%),ZAFER(%)
Kirklareli, 0.00, 58.59, 0.00, 36.94, 3.59, 0.00, 0.00
Edirne, 40.81, 44.87, 1.23, 0.00, 2.76, 0.00, 0.00
Tekirdag, 43.85, 51.18, 1.88, 0.00, 1.00, 0.00, 0.00
Istanbul, 48.55, 48.80, 0.32, 0.00, 1.21, 0.00, 0.00
Kocaeli, 44.33, 30.12, 4.24, 7.31, 2.71, 7.45, 0.00
Sakarya, 65.04, 0.00, 1.03, 0.00, 3.89, 27.63, 0.00
Bursa, 49.62, 47.03, 0.00, 0.00, 1.80, 0.00, 0.00
Bilecik, 42.02, 50.64, 0.00, 5.02, 0.92, 0.00, 0.00
Balikesir, 47.78, 0.00, 1.30, 0.00, 1.00, 46.50, 0.00
Canakkale, 35.61, 60.73, 0.00, 1.89, 0.77, 0.00, 0.00
Duzce, 47.14, 0.00, 0.00, 21.75, 0.92, 27.97, 0.00
Bolu, 44.73, 52.71, 0.22, 0.00, 1.58, 0.00, 0.00
Zonguldak, 42.52, 39.18, 0.00, 15.08, 1.94, 0.00, 0.00
Bartin, 35.33, 25.44, 0.00, 35.76, 2.68, 0.00, 0.00
Kastamonu, 30.89, 18.16, 0.00, 49.55, 0.67, 0.00, 0.00
Karabuk, 38.96, 0.00, 0.00, 39.83, 2.48, 18.09, 0.00
Cankiri, 38.24, 4.70, 0.00, 47.00, 1.14, 8.55, 0.00
Corum, 43.28, 36.73, 0.00, 16.36, 1.17, 1.90, 0.00
Sinop, 40.49, 56.63, 0.00, 0.00, 1.04, 0.00, 0.00
Amasya, 34.21, 17.25, 0.00, 47.28, 0.86, 0.00, 0.00
Samsun, 47.37, 0.00, 0.00, 21.05, 1.54, 26.67, 0.00
Eskisehir, 45.14, 52.30, 0.00, 0.00, 1.20, 0.00, 0.00
Ankara, 47.12, 50.93, 0.00, 0.00, 1.05, 0.00, 0.00
Kirikkale, 42.03, 0.00, 0.00, 23.47, 0.91, 31.72, 0.00
Kirsehir, 38.67, 44.79, 0.00, 15.57, 0.68, 0.00, 0.00
