City,AKP(%),CHP(%),DEM(%),MHP(%),YRP(%),IYIP(%),ZAFER(%)
Nevsehir, 51.58, 0.00, 0.00, 34.33, 2.09, 10.27, 0.00
Kutahya, 32.25, 25.62, 0.00, 38.68, 1.36, 1.46, 0.00
Manisa, 0.00, 0.00, 4.34, 52.77, 1.16, 38.05, 0.00
Izmir, 38.69, 58.10, 0.00, 0.00, 1.90, 0.00, 0.00
Afyonkarahisar, 42.96, 0.00, 0.00, 16.27, 0.58, 39.70, 0.00
Denizli, 50.56, 0.00, 1.39, 0.00, 0.78, 43.91, 0.00
Usak, 39.11, 10.39, 0.00, 10.76, 1.23, 37.76, 0.00
Aydin, 43.74, 53.94, 0.00, 0.00, 0.83, 0.00, 0.00
Mugla, 28.42, 36.01, 0.00, 0.00, 0.55, 26.24, 0.00
Burdur, 43.95, 53.14, 0.32, 0.00, 1.61, 0.00, 0.00
Antalya, 46.27, 50.62, 0.00, 0.00, 0.96, 0.00, 0.00
Isparta, 38.04, 0.00, 0.00, 30.80, 0.89, 28.68, 0.00
Konya, 70.53, 0.00,  2.18, 0.71, 4.11, 20.20, 0.00
Karaman, 38.41, 16.19, 0.00, 39.57, 2.31, 3.23, 0.00
Aksaray, 40.47, 0.00, 0.00, 39.37, 0.62, 18.22, 0.00
Nigde, 37.13, 14.61, 0.00, 18.57, 1.14, 28.12, 0.00
Adana, 0.00, 53.63, 0.00, 42.83, 1.90, 0.00, 0.00
Kayseri, 63.39, 0.00, 0.58, 0.00, 2.75, 31.52, 0.00
Yozgat, 40.86, 0.00, 0.00, 15.65, 36.16, 3.56, 0.00
Ordu, 56.93, 15.47, 0.00, 0.00, 26.14, 0.00, 0.00
Tokat, 48.80, 0.00, 0.00, 28.02, 2.09, 20.46, 0.00
Sivas, 60.8, 7.69, 0.00, 24.71, 1.48, 0.00, 0.00
Kahramanmaras, 67.60, 27.28, 0.00, 0.00, 3.10, 0.00, 0.00
Osmaniye, 0.00, 0.00, 3.63, 54.44, 1.77, 35.24, 0.00
Hatay, 42.81, 55.16, 0.00, 0.00, 0.85, 0.00, 0.00
Gaziantep, 53.97, 26.20, 0.00, 0.00, 1.89, 16.44, 0.00
Kilis, 47.26, 0.00, 0.00, 32.58, 2.10, 16.87, 0.00
Giresun, 48.84, 48.39, 0.00, 0.00, 2.00, 0.00, 0.00
Gumushane, 49.16, 7.55, 0.00, 30.02, 1.34, 11.47, 0.00
Bayburt, 35.75, 1.70, 0.00, 56.49, 2.95, 2.69, 0.00
Trabzon, 64.61, 10.00, 0.00, 0.00, 3.26, 21.53, 0.00
Erzincan, 33.00, 23.08, 0.00, 42.36, 0.98, 0.00, 0.00
Rize, 72.99, 13.34, 0.00, 0.00, 5.54, 6.76, 0.00
Erzurum, 62.80, 2.44, 6.02, 0.00, 0.00, 25.45, 0.00
Artvin, 46.88, 50.96, 0.00, 0.00, 0.85, 0.00, 0.00
Ardahan, 43.09, 51.20, 0.00, 0.00, 0.49, 4.85, 0.00
Kars, 0.00, 25.14, 29.58, 26.57, 0.54, 17.80, 0.00
Malatya, 68.47, 23.60, 1.47, 0.00, 5.31, 0.00, 0.00
Adiyaman, 53.22, 0.00, 0.00, 5.44, 28.12, 11.87, 0.00
Sanliurfa, 60.81, 0.00, 0.00, 0.00, 36.85, 0.00, 0.00
Tunceli, 14.06, 20.59, 60.91, 3.49, 0.24, 0.00, 0.00
Elazig, 40.38, 0.00, 2.78, 34.46, 4.78, 17.10, 0.00
Bingol, 38.60, 1.17, 30.44, 26.95, 2.11, 0.00, 0.00
Igdir, 0.00, 2.29, 50.10, 46.68, 0.46, 0.00, 0.00
Agri, 55.57, 1.92, 37.13, 0.00, 2.04, 2.64, 0.00
Mus, 34.76, 0.84, 33.59, 0.00, 33.59, 26.72, 0.00
Diyarbakir, 30.99, 1.83, 62.93, 0.00, 2.03, 0.00, 0.00
Mardin, 38.53, 1.83, 56.24, 0.00, 1.15, 1.10, 0.00
Batman, 28.55, 1.42, 66.03, 0.65, 1.49, 0.84, 0.00
Van, 40.51, 1.90, 53.83, 0.00, 1.88, 1.10, 0.00
Bitlis, 43.81, 1.35, 33.05, 0.00, 18.73, 1.58, 0.00
Siirt, 46.01, 1.94, 48.36, 0.00, 1.46, 1.47, 0.00
Sirnak, 61.72, 1.88, 35.04, 0.00, 0.85, 0.21, 0.00
Hakkari, 33.25, 2.56, 60.00, 0.00, 0.45, 1.57, 0.00
Yalova, 44.93, 45.91, 0.89, 0.00, 1.49, 0.00, 0.00
Mersin, 0.00, 45.09, 0.00, 40.99, 0.68, 12.02, 0.00
